NAMC_CODE,NAMC_term,NAMC _term_diacritical,Matched_IndexTerm,short_definition,long_definition,TM2 Code,Similarity_Score
A,DOSHAVAISHAMYAM,dōṣavaiṣamyam,dhātuvaiṣamyam,derangement of dōṣa , ,SR40,74.07407407407408
AAA-1,VATASANCAYAH,vātasañcayaḥ,(a) vātasañcayaḥ,accumulation of vāta ,"the disorder is characterized by stabdhakōṣṭhatā [impariment of movements of vāta in the kōṣṭha/stagnated bowel movements/paralytic ileus], pūrṇakōṣṭhatā [fullness of abdomen] ",SR11,95.0
AAA-2,VATAVRUDDHIH,vātavr̥ddhiḥ,(a) vātavṛddhiḥ,aggravation of vāta ,"the disorder is characterized by vākpāruṣyam [roughness of voice/hoarseness of voice], kārśyaḥ [emaciation], kārṣṇyaḥ [blackish discoloration of body], gātrasphuraṇam [flickering/twitching in various parts of body], uṣṇakāmitā/uṣṇakāmatvam [desire for heat/warmth], nidrānāśaḥ/nidrābhraṁśaḥ [insomnia], alpabalatvam [insufficient /decreased physical strength], gāḍhavarcastvam [thick/compact stool], kampaḥ/gātrakampaḥ [trembling/tremors of body parts], ānāhaḥ [barborygmus with distention], śakr̥dgrahaḥ [obstruction/retension of faeces], balabhraṁśaḥ/balōpaghātaḥ [diminution of physical strength], indriyabhraṁśaḥ/indriyōpaghātaḥ [impairment of sense organs], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], bhramaḥ [giddiness or dizziness], dīnatā/dainyam [timid or apathy], asthiśūlaḥ [pain in the bones], majjāśōṣaḥ [decrease in or dryness of majja (bone marrow)], malasaṅgaḥ [obstruction to passage of feces], ādhmānam [abdominal distension], āṭōpaḥ [gurgling sound of the intestines/barborygmus], saṁjñānāśaḥ [loss of conciousness], mōhaḥ [confusion/delirium], bhayaḥ [fear], śōkaḥ [grief] ",SR12,74.07407407407408
AAA-2.1,VATAPRAKOPAH,vātaprakōpaḥ,(a) vātaprakopaḥ,vitiation of vāta ,"the disorder is characterized by sraṁsaḥ [exhaustion/fatigue], bhraṁśaḥ [dislocation/prolapse], vyāsaḥ [expansion/dilatation], saṅgaḥ [obstruction/adherence], bhēdaḥ [breaking type of pain], sādaḥ [exhaustion or tirednes of body], harṣaḥ [horripilation/bristling], tarṣaḥ [dryness of mouth/thirst], kampaḥ [tremors/trembling/shaking], vartaḥ [movement of vāta in opposite direction/circular movement of vāta], cālaḥ [pulsation (chakrapani)], tōdaḥ [pricking pain], vyathā [uneasiness/agitation/feeling of discomfort], cēṣṭā [abnormal movements], kharatvam [roughness], paruṣatvam [roughness in body], viśadatvam [conspicuousness /clear/perceivable], suṣiratvam [porousness/hollowness], aruṇavarṇatā [slight reddish complexion of the body], kaṣāyamukhatvam [astringent taste in mouth], virasamukhatvam [tastelessness/upleasant taste in mouth], śōṣaḥ [dryness/wasting/emaciation], śūlaḥ [sharp type of pain], suptiḥ [numbness/drowsiness], saṁkōcanam [contraction of body parts], stambhanam [stiffness /rigidity], khaṁjatā [limping] ",SR10,78.57142857142857
AAA-2.2,PRANAVATAKOPAH,prāṇavātakōpaḥ,(a) pittāvṛtaprāṇavātaḥ,vitiated prāṇavāyu ,"the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough] ",SR20,75.00000000000001
AAA-2.3,UDANAVATAKOPAH,udānavātakōpaḥ,(a) pittāvṛta-udānavātaḥ,vitiated udānavāyu ,"the disorder is characterized by kaṇṭharōdha [choking of throat/stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region /goitre], jatrūrdhvarōga [diseases of body above collar bone/diseases of head and neck] ",SR20,75.00000000000001
AAA-2.4,VYANAVATAKOPAH,vyānavātakōpaḥ,(a) pittāvṛtavyānavātaḥ,vitiated vyānavāyu ,"the disorder is characterized by puṁstvabhraṁśa [decrease in virility/semen], utsāhabhraṁśa [decrease/lack of enthusiasm/energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis/erysipelas], sarvāṅgaga rōga [diseases affecting whole body] ",SR20,75.00000000000001
AAA-2.5,SAMANAVATAKOPAH,samānavātakōpaḥ,(a) pittāvṛta-samānavātaḥ,vitiated samānavāyu ,"the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of/having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of/having origin in āmāśaya] ",SR20,76.15384615384616
AAA-2.6,APANAVATAKOPAH,apānavātakōpaḥ,(a) pittāvṛta-apānavātaḥ,vitiated apānavāyu ,"the disorder is characterized by pakvāśayāśrayarōgaḥ [diseases of pakvāśaya], mūtrapradōṣaḥ [disorders of mūtra/urinary system], śukrapradōṣaḥ [disorders of semen], arśaḥ [haemorrhoids], gudabhraṁśaḥ [rectal prolapse] ",SR20,75.00000000000001
AAA-3,VATAPRASARANAM,vātaprasaraṇam,(a) vātaprasaraḥ,spreading of vātadōṣa ,"the disorder is characterized by vāyōrvimārgagamanam [abnormal movements of vāyu], āṭōpaḥ [gurgling sound of the intestines/barborygmus] ",SR13,73.33333333333334
AAA-4,VATAKSHAYAH,vātakṣayaḥ,(a) vātakṣayaḥ,depletion of vātadōṣa ,"the disorder is characterized by mandacēṣṭatā [sluggishness in body activities], alpavāktvam/alpabhāṣaṇam [reduced talking], apraharṣaḥ [displeasure/discontent], mūḍhasaṁjñatā [loss of consciousness], aṅgasādaḥ [exhaustion or tirednes to body /inability to perform physical activities], alpēhitam/alpacēṣṭatā [reduced activities], saṁjñāmōhaḥ [loss of investigating intelligence/loss of conciousness], ślōṣmavr̥ddhijanyāmayāḥ [diseases due to increased kapha], prasēkaḥ [excessive salivation], aruciḥ [tastelessness], hr̥̄llāsaḥ [nausea /palpitation of heart], agnivaiṣamyaḥ [impairment of agni (digestive power)] ",SR14,95.0
